Location,latitude,longitude
Okeira Kekere,6.478846,3.561181
Akoka,6.522828,3.400406
AGO,6.477714,3.301587
Festac,6.450608,3.314442
Snake Island,,
Ilase,6.408019,3.290777
Tin Can,6.448253,3.37513
Flour Mill,6.453418,3.371806
Ijora,6.468172,3.383089
Oworo,6.545394,3.406795
Agbowa,,
Ijede,6.560801,3.60271
Owutu,,
Badagry,6.415848,2.875908
