Local Government Area,Generator Count
Agege,36000
Ajeromi-Ifelodun,94000
Alimosho,473000
Amuwo Odofin,114000
Apapa,29000
Badagry,47000
Epe,42000
Eti Osa,95000
Ibeju Lekki,25000
Ifako-Ijaye,103000
Ikeja,149000
Ikorodu,119000
Kosofe,132000
Lagos Mainland,42000
Lagos-Island,10000
Mushin,87000
Ojo,122000
Oshodi-Isolo,233000
SOMOLU,39000
Surulere,88000
